step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
279,12894,558,0.021550608431704556,1.0,1.0,,,,,
280,12944,560,0.020952339317846055,1.0,1.0,,,,,
281,12994,562,0.026552168410174395,1.0,1.0,0.024019432712326913,1.0,1.0,,
282,13044,564,0.03036334323696792,1.0,1.0,,,,,
283,13094,566,0.03258435631946971,1.0,1.0,,,,,
284,13144,568,0.023946485112949934,1.0,1.0,,,,,
285,13178,570,0.02957145041662443,1.0,1.0,,,,,
286,13212,572,0.037617210680182325,1.0,1.0,,,,,
287,13262,574,0.02245626580615256,1.0,1.0,,,,,
288,13296,576,0.034402580061469054,1.0,1.0,,,,,
289,13346,578,0.029214532805550943,1.0,1.0,0.032521950783193455,1.0,1.0,,
290,13380,580,0.023162892489344812,1.0,1.0,,,,,
291,13414,582,0.02863700088993938,1.0,1.0,,,,,
292,13464,584,0.015279197231381358,1.0,1.0,,,,,
293,13498,586,0.029583710619735942,1.0,1.0,,,,,
294,13548,588,0.027406452398330058,1.0,1.0,,,,,
295,13598,590,0.02268352823516276,1.0,1.0,,,,,
296,13648,592,0.020023992921196623,1.0,1.0,,,,,
297,13698,594,0.020624217956938085,1.0,1.0,0.028162370779367243,1.0,1.0,,
298,13732,596,0.030477202503971054,1.0,1.0,,,,,
299,13782,598,0.022996489166119616,1.0,1.0,,,,,
300,13816,600,0.02468676585951471,1.0,1.0,,,,,
301,13866,602,0.019077922923994874,1.0,1.0,,,,,
302,13916,604,0.027062860977772895,1.0,1.0,,,,,
303,13966,606,0.020216093991548407,1.0,1.0,,,,,
304,14016,608,0.022050803219826776,1.0,1.0,,,,,
305,14066,610,0.1498735278174475,0.5,0.5,0.06465298822397017,0.5,0.5,,
306,14116,612,0.02666148513785932,1.0,1.0,,,,,
307,14150,614,0.022551197675566074,1.0,1.0,,,,,
308,14200,616,0.02597356285332353,1.0,1.0,,,,,
309,14250,618,0.014160401357997522,1.0,1.0,,,,,
310,14284,620,0.019110753057902913,1.0,1.0,,,,,
311,14334,622,0.022909972823108544,1.0,1.0,,,,,
312,14368,624,0.03222607593128487,1.0,1.0,,,,,
313,14418,626,0.022299470826255857,1.0,1.0,0.026044148597381234,1.0,1.0,,
314,14468,628,0.02039296187431319,1.0,1.0,,,,,
315,14518,630,0.02481351092477174,1.0,1.0,,,,,
316,14552,632,0.03496628932887689,1.0,1.0,,,,,
317,14602,634,0.03304093515092973,1.0,1.0,,,,,
318,14652,636,0.033349098260514444,1.0,1.0,,,,,
319,14702,638,0.0245596201091151,1.0,1.0,,,,,
320,14752,640,0.021314895199150974,1.0,1.0,,,,,
321,14802,642,0.022001112353815796,1.0,1.0,0.02126949684180242,1.0,1.0,,
322,14852,644,0.03993438329859297,0.5,0.5,,,,,
323,14902,646,0.018485811358987123,1.0,1.0,,,,,
324,14936,648,0.03729925090188771,1.0,1.0,,,,,
325,14986,650,0.02618209589073861,1.0,1.0,,,,,
326,15020,652,0.028544695250129735,1.0,1.0,,,,,
327,15070,654,0.016364371577413595,1.0,1.0,,,,,
328,15120,656,0.047801963654152735,0.5,0.5,,,,,
329,15154,658,0.028948454234341624,1.0,1.0,0.02054177349874711,1.0,1.0,,
330,15220,660,0.027105548700164947,1.0,1.0,,,,,
331,15270,662,0.02079021392914001,1.0,1.0,,,,,
332,15320,664,0.026979901792365122,1.0,1.0,,,,,
333,15370,666,0.025112277484052658,1.0,1.0,,,,,
334,15420,668,0.021829323850858295,1.0,1.0,,,,,
335,15470,670,0.020408658022861344,1.0,1.0,,,,,
336,15520,672,0.02261185271769743,1.0,1.0,,,,,
337,15570,674,0.015644479398130597,1.0,1.0,0.021752568440642793,1.0,1.0,,
338,15620,676,0.024996359150463835,1.0,1.0,,,,,
339,15670,678,0.02054029589043542,1.0,1.0,,,,,
340,15704,680,0.041492342785568334,1.0,1.0,,,,,
341,15754,682,0.02284993412390274,1.0,1.0,,,,,
342,15804,684,0.017007386891303516,1.0,1.0,,,,,
343,15854,686,0.019600608912830164,1.0,1.0,,,,,
344,15904,688,0.061550294560305106,0.5,0.5,,,,,
345,15938,690,0.02336210893559837,1.0,1.0,0.11878236854578668,0.5,0.5,,
346,15988,692,0.023974103544096573,1.0,1.0,,,,,
347,16038,694,0.02258159767829056,1.0,1.0,,,,,
348,16088,696,0.022466026087568022,1.0,1.0,,,,,
349,16138,698,0.02990614885042305,1.0,1.0,,,,,
350,16172,700,0.18210822548153371,0.5,0.5,,,,,
351,16222,702,0.019818298010019744,1.0,1.0,,,,,
352,16256,704,0.017996201804744486,1.0,1.0,,,,,
353,16290,706,0.022717399145412855,1.0,1.0,0.22174360043900376,0.5,0.5,,
354,16324,708,0.030905741919004866,1.0,1.0,,,,,
355,16358,710,0.02225521195214242,1.0,1.0,,,,,
356,16408,712,0.024202748886212554,1.0,1.0,,,,,
357,16458,714,0.02731888606202119,1.0,1.0,,,,,
358,16492,716,0.029310754796060795,1.0,1.0,,,,,
359,16526,718,0.028366515682537282,1.0,1.0,,,,,
360,16576,720,0.027053270549343627,1.0,1.0,,,,,
361,16626,722,0.02346801656864651,1.0,1.0,0.05972981378396071,0.5,0.5,,
362,16676,724,0.027781251403697138,1.0,1.0,,,,,
363,16726,726,0.01536500827791315,1.0,1.0,,,,,
364,16776,728,0.01717549140487487,1.0,1.0,,,,,
365,16826,730,0.020331455567162874,1.0,1.0,,,,,
366,16876,732,0.02378859304205738,1.0,1.0,,,,,
367,16910,734,0.024671169156927134,1.0,1.0,,,,,
368,16960,736,0.02392756693441091,1.0,1.0,,,,,
369,17010,738,0.020569241001818835,1.0,1.0,0.03363840767367946,1.0,1.0,,
370,17060,740,0.01905451184985092,1.0,1.0,,,,,
371,17094,742,0.017895830102206675,1.0,1.0,,,,,
372,17144,744,0.023177810883717027,1.0,1.0,,,,,
373,17178,746,0.08900417293985809,0.5,0.5,,,,,
374,17212,748,0.0211116354558726,1.0,1.0,,,,,
375,17262,750,0.022291609547088836,1.0,1.0,,,,,
376,17312,752,0.09051774630541332,0.5,0.5,,,,,
377,17362,754,0.019524448537510276,1.0,1.0,0.02061299773020437,1.0,1.0,,
378,17412,756,0.021094772263168124,1.0,1.0,,,,,
379,17446,758,0.023713954079585167,1.0,1.0,,,,,
380,17496,760,0.021936008077124522,1.0,1.0,,,,,
381,17530,762,0.022772958051218664,1.0,1.0,,,,,
382,17580,764,0.05837445467545574,0.5,0.5,,,,,
383,17614,766,0.09854577142210473,0.5,0.5,,,,,
384,17664,768,0.015842942832265786,1.0,1.0,,,,,
385,17714,770,0.02227995749467179,1.0,1.0,0.01776559107386371,1.0,1.0,,
386,17764,772,0.023478510359030532,1.0,1.0,,,,,
387,17814,774,0.022735470515181076,1.0,1.0,,,,,
388,17864,776,0.019594455110903557,1.0,1.0,,,,,
389,17898,778,0.05862197272766935,0.5,0.5,,,,,
390,17948,780,0.01378719125287413,1.0,1.0,,,,,
391,17998,782,0.02133450647247931,1.0,1.0,,,,,
392,18048,784,0.016972370740550108,1.0,1.0,,,,,
393,18098,786,0.016889957564514287,1.0,1.0,0.022101445825295135,1.0,1.0,,
394,18132,788,0.01965017833656475,1.0,1.0,,,,,
395,18182,790,0.02724082174670912,1.0,1.0,,,,,
396,18216,792,0.03354733326912537,1.0,1.0,,,,,
397,18266,794,0.025729041032342744,1.0,1.0,,,,,
398,18316,796,0.018776886430314336,1.0,1.0,,,,,
399,18366,798,0.045380609551029925,0.5,0.5,,,,,
400,18416,800,0.2559563944913543,0.5,0.5,,,,,
401,18450,802,0.02446693157344726,1.0,1.0,0.0258601962820588,1.0,1.0,,
402,18500,804,0.09514453481009698,0.5,0.5,,,,,
403,18534,806,0.02148209160477904,1.0,1.0,,,,,
404,18568,808,0.02680089415247494,1.0,1.0,,,,,
405,18618,810,0.020578705244673378,1.0,1.0,,,,,
406,18668,812,0.0373070809892791,1.0,1.0,,,,,
407,18718,814,0.035374604425229945,0.5,0.5,,,,,
408,18752,816,0.0678210342579041,0.5,0.5,,,,,
409,18802,818,0.022057010795542734,1.0,1.0,0.03241052499753096,1.0,1.0,,
410,18852,820,0.01834486924746671,1.0,1.0,,,,,
411,18902,822,0.018693877490877638,1.0,1.0,,,,,
412,18952,824,0.023043759117972518,1.0,1.0,,,,,
413,19002,826,0.06841590392317205,0.5,0.5,,,,,
414,19052,828,0.030999110553020723,1.0,1.0,,,,,
415,19086,830,0.0242464732631197,1.0,1.0,,,,,
416,19136,832,0.04442566943733254,0.5,0.5,,,,,
417,19186,834,0.026005248365666683,1.0,1.0,0.280344131711463,0.5,0.5,,
418,19236,836,0.022415261842397744,1.0,1.0,,,,,
419,19286,838,0.02320510919158551,1.0,1.0,,,,,
420,19336,840,0.018100946332100045,1.0,1.0,,,,,
421,19386,842,0.04241129191832443,0.5,0.5,,,,,
422,19436,844,0.012619586726238292,1.0,1.0,,,,,
423,19470,846,0.21246726175930233,0.5,0.5,,,,,
424,19520,848,0.02287887372772578,1.0,1.0,,,,,
425,19554,850,0.0286395616462687,1.0,1.0,0.02080062495234112,1.0,1.0,,
426,19604,852,0.01871712205233052,1.0,1.0,,,,,
427,19654,854,0.01999365844433972,1.0,1.0,,,,,
428,19704,856,0.021877856095100772,1.0,1.0,,,,,
429,19754,858,0.020836683327506766,1.0,1.0,,,,,
430,19804,860,0.01783225348345392,1.0,1.0,,,,,
431,19838,862,0.01740880478369263,1.0,1.0,,,,,
432,19888,864,0.015822013370804296,1.0,1.0,,,,,
433,19922,866,0.027964816136154695,1.0,1.0,0.02138226869205634,1.0,1.0,,
434,19972,868,0.016978828254990124,1.0,1.0,,,,,
435,20022,870,0.010460282264587778,1.0,1.0,,,,,
436,20056,872,0.02624659045206499,1.0,1.0,,,,,
437,20106,874,0.02300296445852534,1.0,1.0,,,,,
438,20156,876,0.03752723849475539,0.5,0.5,,,,,
439,20206,878,0.02446490925708228,1.0,1.0,,,,,
440,20240,880,0.01758226361735979,1.0,1.0,,,,,
441,20290,882,0.020526706435484807,1.0,1.0,0.0153415676451065,1.0,1.0,,
442,20340,884,0.05138707799104547,0.5,0.5,,,,,
443,20390,886,0.13384657637876443,0.5,0.5,,,,,
444,20424,888,0.13829899138951077,0.5,0.5,,,,,
445,20474,890,0.017945569145958868,1.0,1.0,,,,,
446,20508,892,0.013150928607783498,1.0,1.0,,,,,
447,20558,894,0.021450361728517844,1.0,1.0,,,,,
